Description,AvgProfitMargin,TotalSalesDollars,TargetBrand
Appleton Est VX Jamaican Rum,32.300910175691925,48949.89,No
Appleton Estate Reserve Rum,23.09157288277627,49021.39,No
Appleton Special Gold Rum,30.686047063118004,154424.53999999998,No
Aquilon 06 Garnacha de Borja,90.60213039544075,629.93,No
Aquinas Cab Svgn,90.42409564769581,3592.35,No
Aquinas Napa Chard,85.31559809802033,643.54,No
Aquitania Cab Svgn,7.556938276296106,2526.42,No
Arabella Chard,33.75796178343949,131.88,No
Arak Razzouk,46.53805956455486,18801.45,No
Arak-Gantous & Abouraad,28.14325228503985,23676.829999999998,No
Arca Nova Rose,31.028207461328485,263.76,No
Arca Nova Vinho Verde,34.030444975816806,55629.54,No
Archetype Shiraz/Cab Barossa,26.76884316607181,142.89000000000001,No
Ardbeg 10 Yr Single Malt Sc,14.001961443670702,139529.88,No
Ardbeg Auriverdes Scotch,82.65220048591011,3959.58,No
Ardbeg Corryvreckan Scotch,29.209103422107702,41324.24,No
Ardbeg Dark Cove Com Release,21.982990189190748,7259.34,No
Ardbeg Exploration Pk +50mls,75.86766117483393,41806.93,No
Ardbeg Perpetuum Single Malt,61.0784798414347,13228.619999999999,No
Ardbeg Uigeadail Scotch,29.519060664634754,47357.74,No
Ardmore Legacy Single Malt,20.63631178630323,29665.960000000003,No
Aresti Pnt Nr Curico Vly,96.54044931969202,94.81,Yes
Argentiera Poggio Ginerpi Bo,32.43812532912059,227.88,No
Argiano Non Confunditur Rsso,35.470668485675304,263.88,No
Argiola Costera Isola dei N,45.945945945945944,149.85,No
Argiolas SerraLori Rose 13,33.77830750893921,503.4,No
Argyle Brut,39.41242612635999,14523.109999999999,No
Argyle Willamette Pnt Nr,32.63172091729431,40334.71,No
Arindo Verdejo Rueda,63.71387834041532,708.37,No
Armand De Brignac Brut,36.521455194883345,37638.67,No
Armand Kabinett Rsl,46.40817033062142,577.6999999999999,No
Armand de Brignac Brut Rose,51.836082677293184,9239.78,No
Armas de Guerra Rosado Mncia,24.954250263771858,10814.27,No
Armorik Single Malt Whiskey,96.24020670111686,1199.8,No
Arnaldo Caprai Grecante Grec,4.618529876405522,1614.1499999999999,No
Arpa Brunello di Montalcino,8.497017790219807,28727.02,No
Arpa Pnt Grigio,20.13422818791946,14885.1,No
Arrogant Frog Chardonnay,67.51751751751752,239.76,Yes
Arrogant Frog Pnt Nr,35.385960673316994,2607.39,No
Arrow Apricot Brandy,24.280350438047563,575.28,No
Arrow Blackberry Brandy,35.44889292545107,10085.59,No
Arrow Blackraspberry Liqueur,20.650813516896118,383.52,No
Arrow Blue Curacao,23.705509079331627,4554.3,No
Arrow Brown Creme de Cacao,27.25462813072326,24832.920000000002,No
Arrow Cherry Brandy,17.604958344306173,11353.79,No
Arrow Coffee Brandy,28.12917841298174,313194.52,No
Arrow Creme de Banana,26.242943866749318,21373.25,No
Arrow Creme de Strawberry,34.85372340425531,3835.2,No
Arrow Ginger Brandy,38.32787010945617,93900.6,No
Arrow Kirsch,27.412384402511584,17023.510000000002,No
Arrow Peppermint Schnapps,19.873474642114164,134082.63,No
Arrow Sloe Gin,20.329013081439722,14086.37,No
Arrow White Creme de Cacao,22.194690575716272,29666.87,No
Arrowood Cab Svgn Sonoma Vly,30.575942568429028,8667.01,No
Arrowood Sonoma Est Cab Svgn,26.603884638022375,1766.96,No
Art In The Age Root Liqueur,26.07532168950653,34674.74,No
Art In The Age Sage,35.55045367664829,20027.48,No
Art In The Age Snap,27.18673359842686,35592.47,No
Art in the Age Rhubarb Tea,28.204592879641144,28164.03,No
Art of Eart Montepulciano d',61.296502829852514,2160.89,No
Artesa Carneros Chard,53.360990211625136,50184.02,No
Artesa Carneros Pnt Nr,49.04749775605943,50959.46,No
Artesa Elements Napa Red,2.8992516760039133,744.3299999999999,No
Asamai Shuzo Heavens Door,1.3171057019006323,119.96,No
Asbach Uralt German Brandy,27.429874670102887,44350.95,No
Ashuelot Vodka,7.161028399966453,12877.48,No
Aska Bolgheri Rosso,28.876624123260896,434.84999999999997,No
Assyrtiko-Athiri Atlantis,33.771106941838646,191.88,No
Astraly Touraine Nobel Rose,31.02068045363576,89.94,No
Aszu Royal Tokaji 5 Puttony,19.63519655310754,9098.050000000001,No
Atalon Cab Svgn Napa,55.90228189270638,1589.47,No
Atalon Pauline's Cuvee Red N,90.5804597213861,2358.8199999999997,No
Atalon Svgn Bl Napa Valley,63.47230218883026,2118.94,No
Atamisque Assemblage,27.63426253372702,5344.38,No
Atamisque Malbec,33.399442384524725,23657.879999999997,No
Atholl Brose Scotch Liqueur,27.532278596108384,329.94,No
Atlas Peak Cab Svgn,60.80308659617034,559.84,No
Atteca Garnacha Old Vines,42.73242360594551,10674.26,No
Attems Pnt Grigio Ramato,32.41625459508261,12815.33,No
Attitude 13 Rose Jolivet,88.79641921100105,2350.32,No
Au Bon Climate Pnt Nr,22.770090300786077,2155.02,No
Au Contraire Chard RRV,26.467989237056898,21128.05,No
Auchentoshan 12 Yr Sngle Mlt,21.409195329596994,35098.47,No
Auchentoshan American Oak,24.975494801990052,36451.450000000004,No
Auchentoshan Classic Scotch,94.4009114149161,359.88,Yes
Aultmore 12 Yr Scotch,54.31042587195638,16593.72,No
Austin Cocktails Vodkarita,91.54128229860245,2353.43,No
Avalon Cab Svgn Cal,31.834706042331508,24047.34,No
Avalon Cab Svgn Napa,35.91294848493901,24770.62,No
Avante Tinto Fino Ribera Del,32.43812532912059,892.53,No
Aveleda Follies,90.13810156997224,3429.36,No
Averna Amaro,12.759565164442005,34815.92,No
Aviary Chard,42.301278488048915,215.88,No
Aviary Red Blend,16.0625101786005,5894.719999999999,No
Avion Anejo Tequila,30.493355514530652,37473.18,No
Avion Espresso,39.97930320800276,202.93,No
Avion Silver Tequila,37.505870359627664,152901.77,No
Avion Tasting Flight 3/375mL,46.84927169094364,9852.960000000001,No
Avion Tequila 3/50ml Sampler,10.192339655510693,24005.97,No
Ayala Brut Majeur,24.956542628878363,8117.150000000001,No
Ayala Rose Majeur,60.66437589163816,2607.56,No
B & B Dom VAP,97.25497923424379,1319.48,No
B & B Liqueur Dom,29.410647823519326,322338.36,No
B & G CDP Rose,14.260726932091586,2572.73,No
B & G Cotes du Rhone Red,49.03772132409546,155.88,No
B & G Pnt Nr Bistro,34.73877356778053,6114.81,No
B & G Sancerre Svgn Bl,15.329424787831572,243.91,No
B & G Sauternes,34.170818362931136,6997.139999999999,No
B & G Vouvray,33.507134562513855,18135.66,No
B Doon Not Drinking Any Merl,31.430524627048946,54035.91,No
B Doon The Heart Has Rieslin,31.09892160318096,27493.59,No
B Side Cab Svgn,1.5806135439315903,887.63,No
B Side Napa Vly Red,46.73907865275595,1259.46,No
BR Cohn Olive Hill Cab Svgn,33.32666533306662,99.98,No
BR Cohn Silver Cab Svgn Snm,21.275350102553098,50490.92,No
BV Beaurouge Red,84.39366258696793,6880.41,No
BV Coastal Estate Cab Svgn,28.40710118504785,40100.79,No
BV Coastal Estate Chard,50.32927418124472,19073.77,No
BV Coastal Estate Merlot,45.182953165154984,15790.38,No
BV Coastal Estate Moscato,57.77979981801637,164.85,No
BV Coastal Estate Pnt Nr,41.05707695309063,23527.71,No
BV Coastal Estate Red,1.5690539070995793,450.59,No
BV Coastal Estate Svgn Bl,52.779512804497195,560.35,No
BV GDL Private Rsv Cab Svgn,28.604050337528136,4799.6,No
Babich Svgn Bl Marlboro,28.717221396014462,20320.420000000002,No
Bacardi 151 Proof,36.44758523092918,161219.35,No
Bacardi 1873 Solera Rum,89.38145600251546,2353.43,No
Bacardi 8,30.118208912485983,57553.189999999995,No
Bacardi 8 Gift Set,91.7898004944518,869.65,No
Bacardi Anejo Mexican Rum,59.05711504989439,2476.23,No
Bacardi Artic Grape Rum,51.046665985908305,195.85999999999999,No
Bacardi Black,33.989320940485385,167766.34,No
Bacardi Black Razz,56.50157526657898,37736.47,No
Bacardi Coco Rum,31.13276583994398,72356.79,No
Bacardi Coconut,97.84282334617905,5752.89,No
Bacardi Dragon Berry,94.76345656815374,3203.64,No
Bacardi Dragon Berry Rum,34.37387291928774,322292.83,No
Bacardi Dragon Berry Trav,87.92031468087805,709.29,No
Bacardi Gold Rum,28.74843263628509,597005.62,No
Bacardi Gold Rum Traveler,44.538724475821084,213320.77,No
Bacardi Gran Reserva Maestro,89.59331452310774,12064.359999999999,No
Bacardi Grand Melon,50.91588414097006,24690.35,No
Bacardi Grapefruit Rum,6.1854197904872565,10784.07,No
Bacardi Limon Rum,33.24317364237568,388625.95999999996,No
Bacardi Limon Traveler,96.4403427818062,409.59000000000003,Yes
Bacardi Mango Fusion,63.168709454374564,86888.22,No
Bacardi Mojito Cocktail,26.72914654830726,59087.82,No
Bacardi O Orange Rum,23.806194171219655,2294.35,No
Bacardi Oakheart Spiced Rum,41.32788737368194,306032.05,No
Bacardi Oakheart Spiced Trav,98.13313313313314,399.6,Yes
Bacardi Party Drinks Bahama,31.090943800148445,72655.53,No
Bacardi Party Drinks Hurricn,33.35834896810507,159.9,No
Bacardi Party Drinks Rum Run,4.315196998123832,303.81,No
Bacardi Party Drinks Zombie,32.15246635056008,52286.16,No
Bacardi Party Mai Tai,34.64185784626345,34810.2,No
Bacardi Peach Red Rum,39.6163469557965,287.76,No
Bacardi Pineapple Fusion,48.023431899860384,155020.07,No
Bacardi Raspberry Rum,16.38785329637066,11611.710000000001,No
Bacardi Reserva Limitada,95.30086676297365,2879.68,No
Bacardi Superior Rum,36.21580703150621,3164376.06,No
Bacardi Superior Rum Trav,30.032985770069786,1623375.63,No
Bacardi Tangerine,38.398724082934606,17399.25,No
Bacardi Tangerine Rum,58.41549652047803,11563.37,No
